id,代数,次数,三维1,三维2,三维3,重量,价格
116148,16,0,1.5,1.2,1.7,0,1.99
101304,16,1,1.9,1.2,1.5,0,1.99
120505,32,1,1.1,1.2,1.7,0,1.99
112316,32,1,1.4,1.1,1.2,0,1.99
64192,24,2,1.9,1.2,1,0,1.99
57793,13,6,1,1.8,1.1,0,1.99
123843,32,1,1.9,1.8,1.1,0,1.99
128963,17,0,1.9,1.3,1.7,0,1.99
128963,17,0,1.9,1.3,1.7,0,1.99
116172,16,0,1.7,1.1,1.4,0,1.99
71635,15,0,1.3,1.9,1.8,0,1.99
123604,32,1,1.3,1.9,1.1,0,1.99
175578,15,0,1.4,1,1.8,0,1.99
176865,35,0,1.3,1.2,1.8,0,1.99
125669,18,0,1.4,1.6,1.9,0,1.99
153062,14,0,1,1.9,1.9,0,1.99
90854,16,0,1.2,1.7,1.8,0,1.99
92906,19,0,1,1.6,1.7,0,1.99
125676,16,0,1.6,1.4,1.4,0,1.99
112625,14,0,1.4,1.2,1.6,0,1.99
106227,18,0,1.3,1.5,1.1,0,1.99
157943,14,0,1.1,1.4,1.7,0,1.99
123648,16,0,1.6,1.5,1,0,2
72961,18,0,1.2,1.7,1.5,0,2
169217,34,0,1.3,1.2,1.8,0,2
134658,14,0,1.8,1,1.5,0,2
30210,14,0,1.5,1.3,1.3,0,2
123650,16,0,1.3,1.6,1.9,0,2
73219,18,0,1.7,1.5,1.3,0,2
97027,16,0,1.4,1.3,1.6,0,2
107011,18,0,1.4,1.4,1.8,0,2
175875,23,0,1.5,1.7,1.1,0,2
130051,19,4,1.5,1.3,1.2,0,2
76548,15,1,1.4,1.9,1.3,0,2
28164,17,0,1,1.7,1.2,4.56,2
176900,23,0,1.7,1.3,1.4,0,2
82181,18,0,1.2,1.5,1.6,0,2
122629,18,0,1.2,1.6,1.9,0,2
54022,36,1,1.1,1.5,1.8,0,2
71943,18,0,1.7,1,1.2,0,2
93191,16,0,1.7,1.8,1.6,0,2
104712,19,0,1.7,1,1.4,0,2
107784,16,1,1.8,1,1.5,0,2
