id,代数,次数,三维1,三维2,三维3,重量,价格
3439,5,3,1.8,1.4,1.5,7.82,249
3451,5,10,2.34,1.97,2.34,59.1,1256
3469,5,2,2.01,2.14,2,55.18,388
3498,5,10,2.05,2.38,2.38,63.76,777
3515,2,13,1.61,1.61,1.88,47.55,999
3519,10,1,2.04,1.81,2.07,81,389
3540,2,13,2.25,2.25,2.25,58.78,6969.69
3550,5,10,2.01,2.01,2.11,39.35,240
3551,5,5,2.21,1.54,1.54,82.47,1000
3552,5,8,1.94,1.51,1.94,49.9,239
3566,5,9,2.78,2.81,2.81,69.72,1111.11
3571,5,8,2.56,2.08,2.56,78.67,1800
3572,5,4,1.84,2.14,2.21,60.86,600
3576,5,10,1.65,2.45,2.45,47.11,388
3584,5,11,1.38,1.29,1.69,42.94,333
3585,5,10,1.88,1.52,1.07,58.47,240
3593,5,9,1.91,1.54,1.8,53.95,468
3603,5,4,1.4,1,1,0,150
3615,5,6,1.67,1.41,1,14.34,666
3620,5,11,2.04,1.94,1.74,56.53,488.85
3621,16,0,1,1.84,1.9,4.36,40
3624,20,0,1.7,1.4,1.2,0,15
3625,8,2,1.7,2.47,1.1,22.86,55
3632,5,10,1.57,1.64,1.84,53.78,388
3636,5,10,1.07,2.11,1.41,21.8,79.99
3643,5,11,2.11,2.11,2.72,75.23,1688
3644,5,9,2.01,1.55,2.55,61.37,521.13
3664,5,11,2.41,1.34,2.35,57.56,400
3670,5,10,1.31,1.54,1.34,19.92,300
3678,2,12,1.77,1.77,1.4,76,1600
3683,5,10,2.36,1.61,2.36,73.14,555
3691,5,10,2.04,1.37,1.37,64.77,248
3695,7,4,1.57,1.97,1.57,41.26,188
3720,5,9,1.14,2.04,2.04,28.89,155.55
3722,5,10,2.33,1.79,2.37,62.88,549.66
3727,5,10,1.85,1.45,2.01,57.9,377
3729,5,8,1.69,2.69,2.49,45.66,328
3733,16,2,1.4,1.3,2.04,9.45,15.56
3737,5,4,1.54,1.24,2.01,46.76,449
3738,5,6,1.91,1.1,2.99,62.45,488
3740,2,13,1.35,1.72,1.11,32.42,789.69
3747,5,10,1.57,3.15,3.15,49.81,800
3748,5,7,1.2,1.91,2.11,25.8,222
3751,5,10,1.88,1.84,1.5,66.29,588
3754,2,13,1.98,1.94,1.14,65.72,1500
3767,5,7,2.08,2.55,2.55,44.67,380
3778,5,7,1.24,1.8,2.95,48.12,1888
3793,5,1,1.95,1.6,2.25,70.75,750
3797,5,11,1.91,1.93,2.11,57.24,400
3809,33,1,1.7,1.1,1.2,0,33333.33
3810,5,10,2.04,1.3,1.44,51.26,350
3817,5,10,1.1,1.3,1.4,2.36,159
3832,5,5,1.77,1.93,1.77,48.41,432.21
3837,5,10,2.22,1.18,1.78,64.05,698
3840,5,12,1.75,2.09,2.05,48.75,1000
3848,8,7,1.5,1.34,1.34,12.58,66.66
3850,5,10,1.39,2.71,1.88,34.05,300
3864,5,8,1.44,1.7,1.64,61.87,388
3876,5,10,2.53,2.29,2.29,93.23,1568
3883,5,10,1.46,2.16,1.46,29.09,160
3886,5,11,1.87,1.73,2.06,59.7,299
3892,5,10,1.24,1.22,2.08,42.68,260
3895,5,11,1.62,1.04,2.07,52.22,388
3909,5,10,1.58,1.56,2.13,48.08,200
3915,5,5,1.2,1.7,1,0,90.1
3942,5,9,1.9,2.2,1.9,57.99,269
3945,5,11,1.48,1.5,1,30.37,168
3976,5,4,1.22,1.78,1.68,34.36,268.38
3980,5,11,2.36,1.86,2.38,21.35,560
3983,5,8,1.8,1.6,1.2,43.17,240
3985,5,0,1.5,1.5,1.1,48.88,588
3993,16,0,1.6,1.4,1.4,0,50
3996,20,2,2.82,1.6,1.6,32.96,50
4004,5,9,2.48,1.58,1.88,76.8,400
4008,5,10,2.16,2.04,2.16,39.89,388.88
4014,19,1,1.8,1.6,1,0,3
4021,5,8,1.52,1.58,1.58,51.22,139
4032,5,1,1.1,1.4,1.4,0,67.8
4057,5,10,1.04,2.56,1.4,43.3,138
4070,5,9,2.56,1.58,1.78,71.09,399
4073,19,0,1.5,1.1,1.4,0,5
4075,5,10,1.79,2.49,1.8,40.33,200
4081,5,8,2.04,2.38,2.14,38.04,380
4086,5,6,1.86,2.42,1.54,38.07,260
4091,5,11,2.45,2.7,1.46,53.79,339
4092,5,9,2.41,1.87,2.09,76.15,887
4099,8,9,2.02,2.02,1.66,41.24,50
4100,4,12,2.32,2.52,1.7,76.22,1280
4104,5,12,2.37,2.43,2.37,88.05,1199
4133,5,11,2.61,1.84,1.32,39.78,350
4136,5,1,1.4,1.3,1.4,3.38,500
4143,5,11,1.91,1.89,2.9,65.93,999
4149,5,9,1.68,2.48,2.48,47.48,588
4150,5,11,1.18,1.18,2.22,29.32,220
4151,5,10,1.84,1.92,1.84,76.76,866
4156,5,9,1.5,1.64,1.64,15.12,350
4157,10,3,2.17,2.17,2.21,71.68,782
4158,2,13,1.55,1.58,1.54,41.22,998
4163,5,9,1.44,2.18,2.58,48.81,399
4164,5,10,1.32,2.02,1.87,45.91,258
4176,5,8,1,1.8,1.1,0,131
4193,5,7,2.38,2.33,2.38,83.04,750
4202,5,4,1.94,2.53,1.94,55.23,566
4243,5,10,1.34,2.48,1.24,17.8,166
4250,5,8,1.24,2.19,2.23,25.38,175
4264,5,0,1.3,1.4,1.1,0,300
4266,2,12,1.53,1.53,1.04,55.21,1800
4269,24,1,1.1,1.1,1.1,5.34,10
4279,5,10,1.71,1.73,2.43,44.85,300
4286,5,8,1.34,2.09,2.09,38.91,265
4293,4,3,2.03,1.24,2.09,30.55,558
4300,5,6,2.47,1.6,2.47,54.54,999
4313,5,11,1.89,2.23,1.89,57.06,460
4315,5,8,1.64,1.8,1.74,38.48,233
4323,5,11,2.33,1.34,2.39,71.07,678
4324,5,6,1.73,2.23,1.14,49.46,222
4337,5,3,1.72,1.7,1.99,50.41,399
4343,5,7,1.77,1.92,1.77,27.64,200
4349,5,10,2.03,1.57,1.54,39.77,158
4359,5,9,2.29,1.49,2.29,90.26,1500
4363,5,12,1.54,2.73,1.64,44.07,388
4364,5,11,3.05,2.13,3.05,87.71,1000
4378,5,3,2.75,1.18,2.75,78.89,700
4384,5,10,1.7,1.74,2.39,60.48,996
4391,2,14,2.58,2.58,1.63,79.28,4000
4393,5,10,1.84,1.89,1.6,32.82,175
4395,5,12,2.24,2.19,2.24,50.66,345
4407,13,0,1.6,1.8,1,3.91,6.66
4408,10,1,1.1,1.1,1.2,0,18.8
4412,3,10,1.04,1.14,1.3,10.18,588
4415,5,7,1.98,1.53,1.53,46.04,327.07
4419,5,12,1.93,1.99,1.88,47.43,288
4426,5,9,1.24,1.99,1.9,40.1,300
4431,5,10,1.3,1.94,1.44,41.14,128
4434,5,8,1.98,2.03,2.97,51.86,468
4436,10,0,1.89,1.89,2.33,51.67,888
4461,5,7,1.54,1.73,2.71,53.01,259
4463,5,2,2.14,1.5,1.54,47.68,199.96
4467,5,10,1.2,1,1.1,0,70
4469,5,4,2.03,1.74,1.74,55.32,450
4475,6,1,1,1.3,1.4,0.45,135
4476,5,10,2.63,2.03,2.03,72.17,1388
4500,5,9,1.99,1.2,1.95,40.73,299
4503,5,9,2.67,1.93,2.68,72.77,1999
4504,5,9,2.71,2.71,2.71,83.44,4000
4505,2,13,1.75,1.79,1.3,43.92,1500
4509,2,13,1.75,2.38,1.55,48.85,998
4515,2,13,2.19,1.4,1.49,31.45,1144
4517,5,2,2.29,1.99,1.49,78.73,528
4528,25,1,1.3,1.1,1.7,1.89,88.88
4531,8,4,2.53,1.98,1.89,71.77,333
4533,14,0,2.35,1.3,1,8.46,12
4535,8,1,1.84,1.75,2.29,43.56,149
4536,10,5,1.25,1.25,1.35,14.83,28
4539,10,1,1.1,1.6,1.2,3.2,16.66
4543,10,0,1.1,1.8,1.6,0,11.11
4546,5,9,1.8,2.24,2.68,73.47,888
4547,5,0,1.6,1.8,1.4,0,2000
4555,5,10,1.69,1.65,1.25,43.09,150
4557,11,0,1.5,1,1.6,4.37,20
4563,10,1,2.33,1,2.08,52.94,98
4570,5,11,2.19,1.55,2.28,66.39,999
4577,18,0,1.5,1.55,1.45,13.37,12
4588,2,13,1.15,1.69,1.15,28.66,989
11278,8,3,1.12,1.8,1.21,3.46,6
4619,2,0,1.24,1.24,2.18,42.51,2500
4626,16,1,2.09,1.94,1.95,58.99,109
4631,5,10,1.59,1.79,1.79,46.89,300
4635,6,9,1.8,1.6,1,8.74,49.99
4642,5,9,1.65,1.49,1.74,63.83,388
4647,5,10,1.4,1.2,2.19,14.45,149
4649,5,2,1.75,1.89,2.39,53.03,388
4656,13,0,1.7,1.3,1.2,9.17,9
4673,5,11,1.9,1.29,1.75,64,888
4675,7,5,2.09,2.09,1.8,48.09,199
4676,9,1,2.25,2.53,2.64,66.53,299
4678,24,1,1.95,1.8,1.2,29.02,15
4684,5,7,2.35,1.45,1.19,36.15,180
4695,4,6,1.75,2.15,1.75,23.85,499
4696,11,1,1.7,1.7,1,7.6,50
3010,9,8,1.4,1.2,1.5,0,9.99
4708,5,2,1.79,2.64,2.24,50.61,280
4709,9,2,1.1,1.3,1.2,0,20
4716,10,3,2.15,2.19,2.14,57.56,99
4717,16,0,1.6,2.15,1.4,11.11,46
4726,5,0,1.64,1.94,1.99,27.91,300
4730,5,9,1.79,1.93,1.79,28.52,199
4737,5,7,2.54,1.39,2.54,56.96,666
4744,5,11,1.89,2.49,2.15,45.86,320
4753,5,10,1.6,1.95,1.8,70.53,388
4756,5,3,2.39,1.5,1.8,45.31,399
4762,5,9,2.5,2,1.45,56.76,260
4768,9,1,3.19,3.19,1.5,70.59,290
4773,5,6,1.2,1.3,1.2,10.12,111
4777,5,10,2.69,1.6,1.84,73.79,579.66
4778,5,4,2.24,1.54,1.7,70.91,555
4785,5,10,1.6,1.2,1.84,42.73,210
4793,2,13,2.04,2.04,2,51.2,1666
4795,5,11,1.15,2.44,2.15,37.34,150
4797,5,10,1.69,1.6,1.8,42.27,250
4806,5,9,2.29,1.3,2.1,70.52,777.77
4808,5,10,1.55,1.34,2.29,45.59,380
4817,5,9,1.9,1.9,2,73.33,822
4818,5,9,1.1,1.35,1.3,23.43,68
4824,5,8,1.65,1.05,1.05,52.69,199
4835,4,11,1.34,2.34,1.94,41.3,330
4836,5,11,1.85,2.89,2.84,41.26,300
4840,5,10,1.9,1.94,2.94,67.28,1350
4847,5,5,1.29,2.19,2.19,26.74,199
4849,2,14,1.7,2.04,2.04,52.22,1288.88
4850,2,11,1.65,1.65,1.55,38.22,888.88
4862,5,5,2.25,1.65,1.79,55.15,2500
4882,5,11,2.05,1.15,2.15,64.99,588
4890,9,2,1.55,2.5,1.55,48.16,66
4892,13,4,2.45,1.95,2.1,86.12,200
4902,5,10,1.85,1.4,1.85,63.41,388
4919,5,9,1.45,2.5,2.45,48.49,399
4924,10,1,1.2,1.2,1.1,0,12
4936,5,10,1.95,2.1,1.35,49.92,150
4941,5,8,2.4,1.75,1.75,57.29,388
4952,5,9,1.5,2.5,2.35,26.97,166
4962,4,6,2.4,1.35,1.35,77.61,799
4963,9,0,1.3,1.2,1.4,0,18.7
4964,5,5,1.35,1.35,2.55,34.14,199.99
4967,5,7,1.2,1.95,2.4,31.55,187
4972,6,2,1.95,1.5,1.95,80.58,800
4973,4,8,1.2,1.2,2.35,41.25,354
4982,5,11,2,1.55,2,72.38,666
4993,10,2,2.3,1.45,1.1,46.86,280
5013,5,12,2.15,1.55,2,61.79,300
5017,14,1,1,1,1,0,55.55
5030,6,2,1,1.5,1.35,8.53,60
5035,5,10,1.55,2.55,1.8,34.51,200
5041,5,2,1.3,1.6,1.1,0,150
5042,5,10,1.4,1,1,3.52,139.99
5043,5,8,2.1,1.55,1.7,47.05,288
5049,14,1,1.8,1.1,1.2,0,8
5077,5,10,1.65,1.95,2.75,48.68,799
5078,5,4,1.5,1.65,2.6,44.33,388
5098,9,8,1.6,1.6,1.1,2.42,5.89
5099,2,13,1.8,1.8,1.2,79.41,999
5100,5,0,1.5,1.6,1.6,6.76,300
5102,5,11,1.1,2.16,2.1,35.03,420
5107,5,9,1.75,1.5,1.8,21.52,280
5111,8,3,1.7,2.4,1.7,41.9,200
5116,5,9,2.35,2.4,1.4,53.64,469
5119,5,9,1.7,2.3,1.6,46.02,188.88
